,Control - 8 weeks,Control - 8 weeks,Control - 8 weeks,Control - 8 weeks,Control - 8 weeks,Control - 8 weeks,Control - 8 weeks,Control - 8 weeks,Control - 8 weeks,Control - 8 weeks,Training - 8 weeks,Training - 8 weeks,Training - 8 weeks,Training - 8 weeks,Training - 8 weeks,Training - 8 weeks,Training - 8 weeks,Training - 8 weeks,Training - 8 weeks,Training - 8 weeks
sex,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1
ENSRNOG00000000007,-1.16447,-3.31982,-3.31982,-3.31982,-3.31982,-2.1597,-3.31982,-3.31982,-2.48579,-3.31982,-3.31982,-0.66686,-3.31982,-1.13731,-3.31982,-3.31982,-0.14976,-3.31982,-3.31982,-3.31982
ENSRNOG00000000012,-1.16447,-1.99262,-0.49646,-1.01779,-1.28161,-3.31982,-1.82532,-2.3062,-3.31982,-3.31982,-0.35109,-2.10421,-1.97255,-3.31982,-3.31982,-3.31982,-2.53126,-1.80354,-2.38677,-3.31982
ENSRNOG00000000021,2.28531,3.26585,2.51869,2.65565,2.67882,3.03556,2.20334,2.99236,2.93067,2.15144,1.87631,2.64576,2.60412,2.61494,3.12764,2.10574,2.1838,2.68327,2.75879,2.73158
ENSRNOG00000000024,3.44556,2.74411,2.14963,2.94098,2.29972,2.62277,2.81093,2.60166,2.20383,2.84445,3.68541,3.16561,2.89153,3.49386,2.75408,3.68225,3.02018,3.96886,2.74465,2.62275
ENSRNOG00000000033,11.3904,10.66741,10.51219,10.35532,10.82259,10.59316,9.96763,10.2839,10.32644,10.62481,11.42502,10.81059,11.0404,11.02782,10.78103,10.7625,10.71052,11.88018,10.93289,11.27262
ENSRNOG00000000034,3.98255,4.15652,4.125,4.42356,3.97851,4.5452,4.83044,4.78134,4.65207,4.72431,4.10403,4.84326,4.4533,4.89228,3.8132,5.11672,4.78458,4.66376,4.35101,4.24599
ENSRNOG00000000040,1.16686,0.77591,0.88765,1.61027,1.40138,0.82335,1.56908,2.0104,1.64052,1.99651,0.76196,1.59152,1.69814,1.63834,1.13021,1.67732,1.90389,0.04513,0.94217,0.98321
ENSRNOG00000000041,-3.31982,0.73283,-1.98667,-0.09114,-1.28161,-0.05029,0.30783,-1.71672,-1.57653,-0.155,-1.98786,-0.52265,-0.9642,-3.31982,-1.37716,-0.91472,-1.10671,-1.39732,0.6805,-1.06441
ENSRNOG00000000042,1.16686,2.3035,2.07343,1.21092,1.58717,2.38733,1.04054,1.66063,1.60379,2.46896,1.15554,1.01465,1.93051,1.49451,1.98016,1.42329,1.78695,1.86407,1.27636,1.60846
ENSRNOG00000000043,3.93766,3.87873,3.92994,3.94064,4.07933,3.68221,4.10528,4.22285,4.18012,3.8643,3.57016,3.58725,4.00731,3.84174,3.98739,3.84661,3.88179,3.53097,4.0516,3.84403
ENSRNOG00000000044,2.38423,2.67751,2.57504,2.43708,2.87995,2.70714,2.87498,2.64938,2.93807,2.41602,3.02757,2.51817,2.96003,2.25315,2.98787,2.29852,2.71875,2.41068,2.10066,2.40635
ENSRNOG00000000047,9.33441,8.45238,8.58796,8.46363,8.73757,8.42984,8.22706,8.56255,8.51547,8.63571,9.12894,8.84686,8.72287,9.03292,8.68605,8.75185,8.73571,9.7474,8.75782,9.03673
ENSRNOG00000000048,5.50537,5.45382,5.53485,5.68735,5.1902,5.34552,5.63265,5.67735,5.57878,5.34157,5.57947,5.29646,5.39273,5.58531,5.30211,5.60657,5.75885,5.40903,5.37147,5.34282
ENSRNOG00000000053,1.65296,1.38907,-3.31982,0.24232,-2.29423,-1.52509,-3.31982,-0.97616,-3.31982,-3.31982,-3.31982,-2.5876,-1.48234,-2.65088,-2.76006,0.17998,-1.10671,-3.31982,-1.82484,-3.31982
ENSRNOG00000000054,1.21065,1.18043,1.75356,2.09878,1.53648,0.66359,1.86781,1.56435,2.0209,1.88405,2.47792,1.31263,1.65156,1.63834,1.13021,1.75294,0.82822,1.22407,1.3555,1.47569
ENSRNOG00000000062,0.87188,0.81775,0.69768,0.94195,0.25013,1.05564,0.6798,0.46019,0.51865,0.48221,-1.05871,0.12881,-0.03426,0.42305,-0.30005,-0.34258,-0.40408,1.33479,0.13992,0.09128
ENSRNOG00000000064,4.61626,4.00632,4.03411,4.03045,4.35271,4.03763,3.80999,3.94074,3.95072,4.24433,4.61416,4.71455,4.47353,4.66591,4.01307,4.83289,4.47061,5.26266,4.45051,4.52331
ENSRNOG00000000066,1.48481,1.49601,1.81725,1.61027,1.53648,1.46402,1.65498,1.48768,1.76219,2.22915,2.12274,2.18162,2.21311,2.08254,1.79521,2.16647,1.65969,1.22407,1.93876,2.65995
ENSRNOG00000000068,5.44478,5.97897,5.8656,6.04224,5.92188,5.88772,6.17181,5.94804,5.92707,5.93066,5.69401,5.87207,5.7008,5.80244,5.86661,5.79054,5.93751,5.41848,5.83326,5.77874
ENSRNOG00000000070,0.92858,2.02128,-3.31982,1.42331,1.08532,2.65144,2.07771,-3.31982,1.54688,2.24442,1.84614,1.62287,1.79241,1.28279,1.36741,1.37623,-3.31982,1.3417,2.16066,2.02434
ENSRNOG00000000073,0.87188,0.81775,0.69768,-1.33847,-0.57634,0.48392,-1.256,0.40567,-0.4596,0.92267,1.0536,-0.16046,-1.70673,-1.85008,0.60815,0.066,0.1634,0.28463,0.50647,-1.24514
ENSRNOG00000000075,1.25316,1.97414,2.33509,1.14823,1.48395,1.52728,1.24826,0.6124,1.2228,0.62901,0.69582,0.44175,1.98789,0.5449,1.36103,1.55589,0.56962,1.33479,0.97596,1.55681
ENSRNOG00000000081,2.90769,2.99263,3.53473,3.36286,3.14818,3.41586,3.49763,3.75694,3.47412,3.95525,2.26637,3.56321,3.24529,3.81777,2.78422,3.73914,3.5992,3.23518,2.76411,3.1701
ENSRNOG00000000082,2.38423,2.73323,2.61142,2.31397,2.92005,3.27553,2.7142,2.66106,2.57034,2.42943,3.40406,2.41447,2.88147,2.58685,3.03876,2.5311,2.60244,2.38518,2.86674,2.75469
ENSRNOG00000000091,-0.77468,-1.729,-3.31982,-0.17203,-2.53318,-3.31982,-1.60961,-2.54736,-1.57653,-1.51656,-3.31982,-1.40257,-0.58377,-2.65088,-1.73239,-3.31982,-1.64986,-2.37102,-1.25543,-2.5084
ENSRNOG00000000095,0.87188,1.54664,2.33509,1.7221,1.40138,1.99831,1.67568,2.09898,1.67634,1.99651,0.69582,1.79792,0.96792,1.46394,1.53654,1.92628,0.94199,1.62357,1.50185,1.26653
ENSRNOG00000000096,-3.31982,0.01002,-0.66028,-1.16924,-1.70084,-1.52509,-1.10715,-1.49304,-1.27346,-2.73677,-0.84673,-1.74277,-1.11713,-3.31982,-0.79871,-0.19316,-3.31982,-3.31982,-0.62922,-1.66828
ENSRNOG00000000097,-1.70024,-0.06403,-0.09371,-0.88075,-3.31982,-2.62616,-1.82532,-2.72576,-0.91257,-1.15436,-3.31982,-3.31982,-1.11713,-1.33814,-2.04358,-2.42503,-0.27132,-3.31982,-1.82484,-3.31982
ENSRNOG00000000098,4.0383,3.85381,3.9655,3.83036,4.15688,4.20657,3.85152,3.78391,3.90993,3.76724,3.91349,4.2255,4.18137,3.99393,4.02574,3.93043,3.7552,4.22029,4.08682,4.10476
ENSRNOG00000000104,2.73851,2.88852,3.21827,2.90352,3.19795,2.62277,2.98687,2.8362,3.23686,2.24442,3.00043,2.89727,2.6757,2.68288,3.11188,2.22075,2.41812,2.10181,2.97931,2.83277
ENSRNOG00000000108,1.58803,1.08086,1.61709,2.0309,2.3446,2.59351,2.39027,2.36498,2.59862,1.3751,2.04518,2.13888,1.52805,2.04173,1.87205,1.59751,1.62604,2.22192,2.39101,2.61014
ENSRNOG00000000111,-0.77468,0.4432,-1.60644,-0.88075,-1.47605,0.41869,0.19765,0.46019,-0.24339,0.13439,0.12158,0.91685,-0.69978,-0.96104,-0.14056,-2.42503,-0.14976,-0.41065,0.01547,0.09128
ENSRNOG00000000112,1.65296,2.97425,2.68154,2.93171,2.74136,3.0464,2.73407,2.61374,2.94543,3.28183,1.65052,2.41447,2.46287,2.35662,2.60445,1.92628,2.53151,1.97079,2.39101,2.51861
ENSRNOG00000000113,-0.33623,-0.06403,-1.05714,-1.33847,-0.27534,0.03923,-1.422,-0.3894,-0.24339,-1.51656,-3.31982,-1.45399,-1.48234,-0.80399,-3.31982,-0.69781,-0.89648,-2.37102,0.19834,-1.07252
ENSRNOG00000000121,2.34547,2.09815,2.41959,2.80536,2.92005,2.2251,2.8839,2.51417,2.03476,2.74062,1.90587,2.53475,2.66402,2.68288,2.24865,2.48749,2.35789,2.19281,2.78333,2.69621
ENSRNOG00000000122,3.42712,3.15647,2.59334,3.35594,2.95906,2.53315,2.99513,3.0557,2.96728,3.1902,3.10606,2.99637,2.76594,2.68288,2.83309,3.10771,3.19101,2.74732,3.02828,3.09061
ENSRNOG00000000123,5.03085,4.69736,4.96439,5.08579,5.02996,4.60873,5.01232,5.1687,4.95336,5.11533,5.18365,5.29159,4.7773,5.26679,4.86322,5.05829,5.24708,4.88002,5.1998,4.74721
ENSRNOG00000000127,3.49952,3.73329,3.99334,3.55634,3.63738,3.79575,3.8286,3.88204,3.80057,3.79342,3.9062,3.41883,3.8767,3.78722,3.69126,3.77586,3.6834,4.10786,3.61555,3.49912
