PRO,RAPH,ALY,GNL,GNA,4OH,GBN,GBC,4MeOH,NAS,NEO
0.6139,0.039323,0.21929,0.054317,0.35575,0.11145,0.29002,0.55464,0.052953,0.21514,0.082498
1.3499,0.026915,0.22728,0.049263,0.72491,0.062443,0.42342,0.22536,0.052137,0.20702,0.087618
0.14284,0,0.068869,0,0.027907,0.029629,0.050909,0.10259,0.02809,0.12493,0.052448
0.70673,0.044171,0.26887,0.037989,0.58526,0.071243,0.34906,0.21594,0.16504,0.95391,0.057128
1.2755,0.088148,0.60965,0.10532,0.41644,0.084018,0.2558,0.16173,0.029744,0.37978,0.19278
1.6339,0.088857,0.86653,0.14691,0.61121,0.14316,0.87294,1.6253,0.059462,0.72248,0.21581
2.3264,0.081276,0.82516,0.17756,1.0589,0.090014,0.98105,1.1154,0.049908,0.64446,0.42314
1.6643,0.088235,0.63947,0.093769,1.0888,0.10416,0.74884,0.72505,0.025413,0.57079,0.39837
0.71985,0.11915,0.47523,0.025537,0.36003,0.10457,0.20854,0.99638,0.046848,0.34179,0.13428
1.322,0.034386,0.33527,0.045672,0.94113,0.035296,0.61817,0.82013,0.028865,0.30078,0.46503
0.91583,0.064431,0.35629,0.025759,0.41928,0.049028,0.26695,1.9293,0.029921,0.33612,0.76411
1.0204,0,0.45434,0,0.42666,0.046529,0.21939,3.3589,0.042616,0.39843,1.1644
1.5085,0.057849,0.55071,0.12045,0.60064,0.20066,0.6908,3.628,0.063414,0.33327,1.6801
0.78685,0,0.30312,0,0.29747,0.051458,0.17266,3.5898,0,0.44558,0.6308
1.4256,0,0.33189,0,0.71626,0.047596,0.39281,5.3066,0.031896,0.20268,1.7323
0.33146,0.045306,0.16517,0,0.23644,0.01971,0.1687,0.054624,0.024528,0.27812,0.037903
1.7224,0.072241,0.40231,0.071464,0.88801,0.099986,0.49101,0.3062,0.13662,1.372,0.13969
1.1524,0.065017,0.40207,0.035142,1.0948,0.06493,0.45152,0.107,0.026341,0.36751,0.04356
1.5032,0,0.45975,0,1.2092,0.094608,0.71168,0.32954,0.052435,0.84884,0.13269
0.9275,0.030718,0.29573,0.044998,0.53711,0.044742,0.44972,0.13399,0.038663,0.22432,0.036537
3.1081,0.050606,0.98637,0.20197,1.2605,0.096962,1.7187,1.7118,0.05723,0.33656,0.36609
0.7435,0,0.367,0,0.12474,0.046786,0.19972,1.5831,0.074142,0.092244,1.162
1.6188,0,0.59088,0.1887,0.36331,0.10658,0.53634,2.6123,0.052221,0.33963,1.4485
2.1732,0,0.25809,0.16466,0.97026,0.075865,1.2942,1.2548,0.042924,0.24933,0.40753
1.966,0.052616,0.43395,0.14727,1.1367,0.085797,1.315,2.3853,0.050539,0.48144,1.2669
0.80471,0,0.342,0,0.15792,0,0.15974,1.332,0,0.11398,0.27345
1.155,0,0.36005,0.15069,0.13027,0.036151,0.3782,2.3809,0.05771,0.13211,6.1639
0.43951,0,0.24563,0,0,0,0,2.3092,0.029682,0,2.1034
1.9638,0,1.2668,0.11682,0.44267,0.10325,0.40328,7.4403,0.07613,0.53351,1.2391
1.5384,0,0.6574,0.14755,0.1888,0.030051,0.35515,2.3254,0.094679,0.23838,7.0679
0.99551,0.053993,0.45372,0.075838,0.12964,0.030592,0.13448,0.063774,0.019016,0.14775,0.049739
0.45789,0,0.22264,0.030111,0.23763,0.024607,0.28056,0.047994,0.010675,0.092983,0
0.050684,0,0.041424,0,0.03907,0,0.031748,0.010573,0,0.10048,0.0094297
0.30544,0.083493,0.18642,0,0.031566,0.017245,0,0.050587,0.006738,0.17425,0.020787
0.7635,0.044935,0.23102,0.028598,0.37567,0.019976,0.23457,0.065128,0.0093792,0.12956,0.019596
2.1962,0.044042,0.74044,0.25196,0.29873,0.043538,0.77062,0.18532,0.033786,0.14671,0.35124
1.555,0.039161,0.25979,0.10596,0.30912,0.024446,0.52819,0.20934,0.01943,0.19845,0.23886
1.2028,0,0.32549,0.1536,0.38865,0.031024,1.0935,0.45221,0.012169,0.1016,0.088004
1.8992,0.039184,0.73557,0.2601,0.531,0.046175,1.1793,1.5419,0.049825,0.12799,0.17057
0.94986,0,0.23174,0.10174,0.35207,0.021961,0.75344,0.23675,0.017955,0.10738,0.10905
1.1642,0,0,0.37066,0.092357,0.030746,0.36214,4.0952,0.033207,0.048748,0.71263
1.2442,0,0.51604,0.40675,0.11704,0.029902,0.43939,2.845,0.029211,0.11058,0.42625
0.86825,0,0.44286,0.17932,0.05018,0.027137,0.24143,0.89915,0.046495,0.12279,3.9601
1.283,0.089009,0.63109,0.15571,0.15072,0.028728,0.29597,2.0483,0.045307,0.2242,0.94051
1.0861,0.0371,0.58321,0.23166,0.05394,0.0077121,0.30666,0.98416,0.052651,0.1072,4.0586
0.63397,0,0.18837,0.022803,0.51112,0.017673,0.28368,0.053667,0.013318,0.087076,0.020348
1.7653,0.26197,0.78057,0,1.0343,0.083766,0.70745,0.1667,0.036532,1.5787,0.036968
0.78047,0,0.25943,0.053976,0.40547,0.021654,0.41666,0.097583,0.015052,0.070846,0.069577
0.95348,0,0.31427,0,0.28277,0.028309,0.29047,0.12637,0,0.22373,0.049766
0.88936,0,0.50161,0,0.35404,0.039714,0.38799,0.42496,0.062683,0.36214,0.096193
2.0223,0,0.45324,0.19597,0.98103,0.12381,1.4683,0.33687,0.044815,0.49667,0.50065
2.2622,0,0.3984,0.18514,1.2579,0.0766,1.5868,0.25192,0.033835,0.38283,0.19082
2.0904,0,0.25779,0.50151,0.77062,0.078234,1.8818,0.46776,0.031556,0.17977,0.15391
1.65,0,0.37596,0.19631,0.72046,0.058359,1.8843,0.19213,0.033803,0.14534,0.38542
2.425,0,0.42519,0.31945,0.99795,0.09649,2.4175,0.21746,0.059515,0.34116,0.67162
2.1091,0,0.78353,0.35008,0.36615,0.17102,0.83851,1.1954,0.10284,0.11713,5.7505
1.1002,0,0.5501,0.17244,0.31346,0.066403,0.61066,4.0273,0.063987,0,0.68082
3.2503,0,0.93711,0.64275,0.69036,0.27209,1.6623,5.2371,0.23474,0.78259,4.8769
3.5236,0,1.8331,0.42469,0.60898,0.1803,1.1839,0.66289,0.22295,0.20953,6.6613
2.0886,0,0.46197,0.26742,0.45831,0.70258,0.62472,4.124,0.078959,0.13447,1.9101
