gene, ct.1,ct.2,ct.3,ct.4,kd.1,kd.2,kd.3
FBgn0000008,76,71,137,82,87,68,115
FBgn0000017,3498,3087,7014,3926,3029,3264,4322
FBgn0000018,240,306,613,485,288,307,528
FBgn0000032,611,672,1479,1351,694,757,1361
FBgn0000042,40048,49144,97565,99372,70574,72850,95760
FBgn0000043,15910,18194,34171,29671,31086,34085,42389
FBgn0000052,1613,1925,2921,2626,1827,1897,2298
FBgn0000053,1286,1567,2308,1856,1944,2076,2361
FBgn0000054,448,498,962,767,484,541,811
FBgn0000057,443,537,933,706,547,589,750
FBgn0000063,218,270,593,417,335,350,547
FBgn0000064,4962,5516,10711,6936,6925,7872,10288
FBgn0000071,74,88,143,76,502,586,727
FBgn0000077,126,179,295,245,164,194,246
FBgn0000079,87,119,185,129,47,41,63
FBgn0000083,3556,4471,7660,5307,4464,4922,6041
FBgn0000084,1311,1641,2479,2097,1507,1501,1808
FBgn0000097,2201,2034,4650,2566,2286,2382,3842
FBgn0000100,17522,22734,37241,24899,20062,20699,25868
FBgn0000108,45,39,79,23,43,47,62
FBgn0000109,69,112,186,200,68,85,215
FBgn0000115,335,426,834,584,446,531,702
FBgn0000116,301,283,513,386,932,872,832
FBgn0000117,6909,8016,14934,9624,9326,9999,12159
FBgn0000119,442,521,876,696,475,502,763
FBgn0000139,415,587,1196,818,410,469,666
FBgn0000140,571,579,1442,1104,785,700,1265
FBgn0000146,834,1034,2099,1549,1419,1470,2629
FBgn0000147,213,301,492,404,384,380,610
FBgn0000150,5395,7152,10225,7822,8412,8593,10331
FBgn0000152,135,145,230,181,144,183,239
FBgn0000163,753,671,1251,738,697,696,948
FBgn0000173,850,1220,2152,1646,1200,1298,2243
FBgn0000181,8478,10835,22669,12625,9670,10530,14616
FBgn0000183,1694,1950,3960,2957,1995,2153,3529
FBgn0000210,1555,1338,3221,1956,1671,1544,2485
FBgn0000212,2150,2256,4784,3107,2669,3031,3721
FBgn0000221,142,191,288,203,151,153,207
FBgn0000228,549,587,1280,737,601,643,816
FBgn0000229,566,633,1601,1142,578,584,1546
FBgn0000239,1636,1869,3686,2858,1931,1926,3346
FBgn0000242,110,107,247,158,145,135,223
FBgn0000244,418,357,803,572,314,362,547
FBgn0000246,93,83,363,195,101,115,379
FBgn0000247,2063,2015,3923,2672,2051,2133,2651
FBgn0000250,1495,1760,3944,2149,1696,1944,2548
FBgn0000253,4968,5940,17769,11113,6585,7270,16332
FBgn0000256,1758,1761,3905,1876,1366,1518,2044
FBgn0000257,524,609,966,656,638,667,784
FBgn0000259,1162,1398,4490,2180,1335,1529,3479
FBgn0000261,1471,1504,2769,1774,1340,1643,1912
FBgn0000273,1949,1795,5618,2400,1851,1996,4265
FBgn0000276,16,30,127,140,37,42,138
FBgn0000278,30,37,64,63,22,28,44
FBgn0000279,35,50,131,98,63,59,156
FBgn0000283,2279,2444,6341,3639,2605,2649,4214
FBgn0000286,397,387,888,509,292,347,451
FBgn0000289,2456,2639,5316,3829,2667,2668,3635
FBgn0000299,30394,30424,60538,36322,56159,51767,68817
FBgn0000307,1047,965,2570,1432,947,1066,2141
FBgn0000308,9589,11962,33612,17828,12621,14308,27632
FBgn0000313,37,42,99,59,49,52,68
FBgn0000317,932,975,2112,1706,1073,1023,1883
FBgn0000318,470,730,1288,897,779,951,1127
FBgn0000319,9304,10286,17662,16255,11519,11437,16778
FBgn0000326,174,178,407,247,220,224,371
FBgn0000330,159,171,269,239,164,186,239
FBgn0000339,323,429,988,850,374,443,1037
